 ,Label,Area,Min,Max,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,Slice,AR,Round,Solidity,mm
1,SUM_NM,319803.46022,0,5530,0,0,565.51168,565.51168,1.00000,176693910.23411,9052288,1,1.00000,1.00000,1.00000,-0.00000
2,NM:1,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,1,1.00000,1.00000,1.00000,-4.41806
3,NM:2,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,2,1.00000,1.00000,1.00000,-8.83612
4,NM:3,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,3,1.00000,1.00000,1.00000,-13.25418
5,NM:4,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,4,1.00000,1.00000,1.00000,-17.67224
6,NM:5,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,5,1.00000,1.00000,1.00000,-22.09030
7,NM:6,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,6,1.00000,1.00000,1.00000,-26.50836
8,NM:7,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,7,1.00000,1.00000,1.00000,-30.92642
9,NM:8,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,8,1.00000,1.00000,1.00000,-35.34448
10,NM:9,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,9,1.00000,1.00000,1.00000,-39.76254
11,NM:10,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,10,1.00000,1.00000,1.00000,-44.18060
12,NM:11,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,11,1.00000,1.00000,1.00000,-48.59866
13,NM:12,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,12,1.00000,1.00000,1.00000,-53.01672
14,NM:13,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,13,1.00000,1.00000,1.00000,-57.43478
15,NM:14,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,14,1.00000,1.00000,1.00000,-61.85284
16,NM:15,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,15,1.00000,1.00000,1.00000,-66.27090
17,NM:16,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,16,1.00000,1.00000,1.00000,-70.68896
18,NM:17,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,17,1.00000,1.00000,1.00000,-75.10702
19,NM:18,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,18,1.00000,1.00000,1.00000,-79.52508
20,NM:19,319803.46022,0,1,0,0,565.51168,565.51168,1.00000,1288.27077,66,19,1.00000,1.00000,1.00000,-83.94314
21,NM:20,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,6987.89299,358,20,1.00000,1.00000,1.00000,-88.36120
22,NM:21,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,13351.16985,684,21,1.00000,1.00000,1.00000,-92.77926
23,NM:22,319803.46022,0,3,0,0,565.51168,565.51168,1.00000,17489.25173,896,22,1.00000,1.00000,1.00000,-97.19732
24,NM:23,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,16767.03933,859,23,1.00000,1.00000,1.00000,-101.61538
25,NM:24,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,14990.78720,768,24,1.00000,1.00000,1.00000,-106.03344
26,NM:25,319803.46022,0,3,0,0,565.51168,565.51168,1.00000,17118.38590,877,25,1.00000,1.00000,1.00000,-110.45150
27,NM:26,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,17020.78963,872,26,1.00000,1.00000,1.00000,-114.86956
28,NM:27,319803.46022,0,3,0,0,565.51168,565.51168,1.00000,16454.73126,843,27,1.00000,1.00000,1.00000,-119.28762
29,NM:28,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,19031.27281,975,28,1.00000,1.00000,1.00000,-123.70568
